Score,Text,Summary,clean_text,sentiment_gt,vader_neg,vader_neu,vader_pos,vader_compound,vader_label,tb_polarity,tb_subjectivity,tb_label
1,"If you like the (bitter) taste of Sweet & Low, get this. If you don't, don't. Couldn't get through one cup of coffee (and I only used 1/2 of the tiny packet).<br /><br />I'm gonna give ""Stevia Extract in the Raw"" a try. It's made by the folks at ""Sugar in the Raw."" (And, no, I don't work for their company.) Here's what they claim:<br /><br />""Stevia Extract In The Raw gets its delicious, natural sweetness from Rebiana (aka Reb-A) -- an extract from the Stevia plant. This extract is the sweetest part of the plant and has recently been isolated to provide pure sweetening power without the licorice-like aftertaste that many of our predecessors exhibited. All you get is the sweet flavor without any calories.""<br /><br />We'll see. Simply-Stevia is simply nasty.",Sweet & Low without the cancer.,if you like the bitter taste of sweet low get this if you don t don t couldn t get through one cup of coffee and i only used of the tiny packet i m gonna give stevia extract in the raw a try it s made by the folks at sugar in the raw and no i don t work for their company here s what they claim stevia extract in the raw gets its delicious natural sweetness from rebiana aka reb a an extract from the stevia plant this extract is the sweetest part of the plant and has recently been isolated to provide pure sweetening power without the licorice like aftertaste that many of our predecessors exhibited all you get is the sweet flavor without any calories we ll see simply stevia is simply nasty,negative,0.095,0.792,0.113,0.5845,positive,0.04512362637362638,0.5619848901098902,neutral
1,item was much smaller than appeared on line.  You can get these same Aqua Blue Swirl Pops from Oriental Trade for a lot cheaper in cost.  Also They had Oriental Trade stamped on the back of each Pop.  Some of the pops were broken.,wedding mom,item was much smaller than appeared on line you can get these same aqua blue swirl pops from oriental trade for a lot cheaper in cost also they had oriental trade stamped on the back of each pop some of the pops were broken,negative,0.067,0.933,0.0,-0.4767,negative,-0.08,0.225,negative
1,"This coffee tastes very flavorful and is not too strong, but I have to say it almost ruined my months' old Keurig Personal Brewer. The coffee is ground so finely that when the K-Cups are punctured by the needles (top and bottom), it gets packed into the needles and also sifts out through the holes made by the needles, going into the coffee cup creating a very nasty ""sludge"" in the bottom of each cup. I purchased a pack of 2 (48 K-Cups) and didn't even use one full pack. I do not recommend this brand or blend. It is a waste of money, which is something I couldn't really afford at this time. I sent a letter of complaint to the Wolfgang Puck company and, except for a ""cookie cutter"" letter acknowledging receipt of my comment, I have not received any further contact from them.",Don't waste your money or your Keurig on this!,this coffee tastes very flavorful and is not too strong but i have to say it almost ruined my months old keurig personal brewer the coffee is ground so finely that when the k cups are punctured by the needles top and bottom it gets packed into the needles and also sifts out through the holes made by the needles going into the coffee cup creating a very nasty sludge in the bottom of each cup i purchased a pack of k cups and didn t even use one full pack i do not recommend this brand or blend it is a waste of money which is something i couldn t really afford at this time i sent a letter of complaint to the wolfgang puck company and except for a cookie cutter letter acknowledging receipt of my comment i have not received any further contact from them,negative,0.122,0.848,0.03,-0.9439,negative,0.05833333333333331,0.4152777777777778,positive
1,"I bought these for my Dalmatian for the first time about a month ago. He LOVED them...so much that even though I only gave him the recommended amount per day for his weight class he STOPPED EATING HIS FOOD.<br /><br />I went in to Petco and spoke with a customer service rep who told me a couple of people had come in with similar experiences. He said he was personally curious about it and did some research online and pulled up some reviews (which we looked up together while I was in the store) of people with the same issue. We discovered Dogswell now makes this product in China. Whether or not that automatically makes it unsafe I don't know but given the other reviews and the sign from my own dog I am no longer willing to risk it. Do some research - google ""Dogswell made in china"" and decide for yourself.",MADE IN CHINA!!!,i bought these for my dalmatian for the first time about a month ago he loved them so much that even though i only gave him the recommended amount per day for his weight class he stopped eating his food i went in to petco and spoke with a customer service rep who told me a couple of people had come in with similar experiences he said he was personally curious about it and did some research online and pulled up some reviews which we looked up together while i was in the store of people with the same issue we discovered dogswell now makes this product in china whether or not that automatically makes it unsafe i don t know but given the other reviews and the sign from my own dog i am no longer willing to risk it do some research google dogswell made in china and decide for yourself,negative,0.043,0.922,0.035,-0.34,negative,0.1775,0.5983333333333333,positive
1,"I guess I am in the minority, but this hash product tastes like cheap fatty meat and stale potatoes.  It splutters out so much grease while browning that you need to be prepared for a very stinky house and a stove that needs A LOT of 409 to get clean.  Maybe this is a nostalgia food I missed the boat on; I bought a can to try to see if our family wanted to stock some in our emergency food box since I have never had canned hash before.  This roast beef flavor has less salt than all others which is why I bought it, I cannot imagine how salty those must taste. If you like canned hash, listen to the 5 star reviews; if you never had it before, buy one can at the store to try before investing money and pantry space -- I am so glad I did!",Tastes like cheap meat and salt,i guess i am in the minority but this hash product tastes like cheap fatty meat and stale potatoes it splutters out so much grease while browning that you need to be prepared for a very stinky house and a stove that needs a lot of to get clean maybe this is a nostalgia food i missed the boat on i bought a can to try to see if our family wanted to stock some in our emergency food box since i have never had canned hash before this roast beef flavor has less salt than all others which is why i bought it i cannot imagine how salty those must taste if you like canned hash listen to the star reviews if you never had it before buy one can at the store to try before investing money and pantry space i am so glad i did,negative,0.059,0.835,0.106,0.8321,positive,0.1,0.4833333333333334,positive
1,"I just bought the Yummy Earth Vitamin C pops 30 oz container as both Halloween candy and for myself to enjoy. The item flavor description is different than the flavors I received. So, just be aware that this might be the case before you buy.<br /><br />I find it completely ridiculous to just notice that someone negatively reviewed this problem 11 MONTHS ago, and they STILL have not corrected the problem! Get on the ball, Amazon and Yummy Earth!<br /><br />It states that the lollis are currently, ""Razzmatazz Berry, Tooberry Blueberry, Strawberry Smash"", AND then a, ""Mix of sour apple tart, pomegranate pucker, mango tango, tooberry blueberry, googly grape, strawberry smash, very very cherry, wet-face watermelon."" ??? This is both confusing and inaccurate. I didn't even notice the ""Razzmatazz Berry, Tooberry Blueberry, Strawberry Smash"" part when I ordered them, I just assumed it would be the latter, old assorted mix I've been ordering for the last 2 years. In any case, neither flavor description ended up being correct. What I actually received was just 3 flavors: ""Tooberry Blueberry, Razzmatazz Berry and Very Cherry"". I don't like any of those flavors, so it was definitely disappointing.<br /><br />You can't return grocery items, which is another hassle, but I called customer service and they were nice about sending me a completely new container for free supposedly containing the original variety assortment. Still, it seems like bad business and an unnecessary hassle; just get the description right -- so we know up front what we will be actually buying! If they have to replace enough inaccurate orders and lose money on them, maybe that'll be the final catalyst they need to change! So, hey! Extra free Halloween candy! Order away! I'll take this down when they accurately, finally update their description...",Buyer Beware of Flavor Changes Not Accurately Described,i just bought the yummy earth vitamin c pops oz container as both halloween candy and for myself to enjoy the item flavor description is different than the flavors i received so just be aware that this might be the case before you buy i find it completely ridiculous to just notice that someone negatively reviewed this problem months ago and they still have not corrected the problem get on the ball amazon and yummy earth it states that the lollis are currently razzmatazz berry tooberry blueberry strawberry smash and then a mix of sour apple tart pomegranate pucker mango tango tooberry blueberry googly grape strawberry smash very very cherry wet face watermelon this is both confusing and inaccurate i didn t even notice the razzmatazz berry tooberry blueberry strawberry smash part when i ordered them i just assumed it would be the latter old assorted mix i ve been ordering for the last years in any case neither flavor description ended up being correct what i actually received was just flavors tooberry blueberry razzmatazz berry and very cherry i don t like any of those flavors so it was definitely disappointing you can t return grocery items which is another hassle but i called customer service and they were nice about sending me a completely new container for free supposedly containing the original variety assortment still it seems like bad business and an unnecessary hassle just get the description right so we know up front what we will be actually buying if they have to replace enough inaccurate orders and lose money on them maybe that ll be the final catalyst they need to change so hey extra free halloween candy order away i ll take this down when they accurately finally update their description,negative,0.048,0.848,0.104,0.9451,positive,0.01227296777296778,0.4900827320827321,neutral
1,"Kellogg's products are full of GMOs (Genetically Modified Organisms) which are linked to many health problems including infertility, cancer, auto-immune disease etc... Please research GMOs before deciding to purchase any products from Kellogg's. I would NEVER feed this to my family!",Don't Buy It!,kellogg s products are full of gmos genetically modified organisms which are linked to many health problems including infertility cancer auto immune disease etc please research gmos before deciding to purchase any products from kellogg s i would never feed this to my family,negative,0.138,0.775,0.087,-0.5574,negative,0.425,0.525,positive
1,"First let me say that the product itself is excellent and I have no problems with it. This review is mainly about Amazon's idea of proper packaging. I ordered this with super saver shipping and it will be the last time. from now on I will order from another vendor and pay for shipping.<br /><br />When I received the package it was stained and 3 cans had been so severely damaged that they were leaking, 2 others were questionable and 7 others were severely dented but safe to use( I work in a canning facility so I know how to test vacuum in cans). The product was packaged with no padding at all in a box that was a good deal larger than the item. I saved no money at all on free shipping as I had to discard 5 cans of an already expensive cat food.",Poor Packaging,first let me say that the product itself is excellent and i have no problems with it this review is mainly about amazon s idea of proper packaging i ordered this with super saver shipping and it will be the last time from now on i will order from another vendor and pay for shipping when i received the package it was stained and cans had been so severely damaged that they were leaking others were questionable and others were severely dented but safe to use i work in a canning facility so i know how to test vacuum in cans the product was packaged with no padding at all in a box that was a good deal larger than the item i saved no money at all on free shipping as i had to discard cans of an already expensive cat food,negative,0.098,0.76,0.141,0.8809,positive,0.1801282051282051,0.5076923076923077,positive
1,"I'm not stupid. I have nearly a degree from a major university. I read this description over and over, and still it didn't make any sense. Ten bars! Pack of two! Two boxes! Forty-eight! Hike!<br /><br />Like me, you'll probably be surprised by the dearth of product. You get two boxes. Each contains five packets. Each packet has 2 bars, sure -- but the weight of each packet is 1.5 oz, which is less than two-thirds the weight of ONE regular Clif bar. These bars are maybe 1 1/2"" wide, 4"" long, and 1/4"" thick. You'll be tempted to use them to file your nails. Why would Clif suddenly decide that humans can't take a granola bar that weighs more than .75 oz -- and package two of them together? Gosh, let's all think.<br /><br />Anyway, now you know. On the plus side, if you don't like these -- I'd give them a 5 out of 10 on taste -- just hold the box in your open palm, and a hefty breeze will take them away.",Low. Low. I repeat: Low.,i m not stupid i have nearly a degree from a major university i read this description over and over and still it didn t make any sense ten bars pack of two two boxes forty eight hike like me you ll probably be surprised by the dearth of product you get two boxes each contains five packets each packet has bars sure but the weight of each packet is oz which is less than two thirds the weight of one regular clif bar these bars are maybe wide long and thick you ll be tempted to use them to file your nails why would clif suddenly decide that humans can t take a granola bar that weighs more than oz and package two of them together gosh let s all think anyway now you know on the plus side if you don t like these i d give them a out of on taste just hold the box in your open palm and a hefty breeze will take them away,negative,0.012,0.931,0.056,0.7039,positive,0.07470238095238095,0.47196275946275945,positive
1,"I was a huge fan of canidae, but beginning about a month ago, the company changed the formula to cheaper raw materials, smaller bags, and worst of all outsourced manufacturing to Diamond pet foods (yes, the same company linked to multiple recalls in the past). Please do a search on google/consumeraffairs.com. I will not be giving my dog this brand anymore. It's the same mass produced garbage as is iams, eureka, etc.",Company sold out. No different from regular grocery dog food.,i was a huge fan of canidae but beginning about a month ago the company changed the formula to cheaper raw materials smaller bags and worst of all outsourced manufacturing to diamond pet foods yes the same company linked to multiple recalls in the past please do a search on google consumeraffairs com i will not be giving my dog this brand anymore it s the same mass produced garbage as is iams eureka etc,negative,0.092,0.763,0.145,0.4011,positive,-0.13509615384615387,0.4201923076923077,negative
